时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
20:51:07,209,70,52,0,0,26,2,1908,971,1993,1717,427,261,1407,2027,3560,4446,405,2047,1240,908,943,996
20:51:09,242,15,60,0,0,28,2,1013,2777,7768,7079,2115,511,1904,1828,1152,3480,2590,224,850,378,300,616
20:51:11,234,15,55,0,0,30,2,170,638,1706,1530,1075,176,2386,3117,6177,7185,2786,1656,1158,527,1054,1720
20:51:13,246,70,56,0,0,31,2,3026,999,7647,7612,1929,658,1466,592,3900,4362,1579,1480,877,463,218,800
20:51:16,186,15,43,0,0,35,1,32,2237,5620,4977,2148,990,2182,1047,3138,3781,1433,705,967,522,675,561
20:51:18,187,15,36,0,0,37,2,476,1575,4712,4517,1261,1514,1329,1128,4970,6791,1488,1500,1196,224,994,1655
20:51:20,171,23,31,0,0,39,2,1072,2209,3615,4044,1296,1324,2092,602,4939,6045,1892,1382,459,487,537,536
20:51:22,208,70,47,0,0,41,2,197,785,4970,5458,2092,1427,1360,1466,3639,4869,1851,1301,866,476,446,186
20:51:25,172,70,32,0,0,44,2,614,263,4965,4810,994,510,923,479,3105,4146,1630,1608,1418,496,391,601
20:51:27,225,70,58,0,0,46,2,1295,1670,2261,2798,1840,2022,3340,916,6343,7519,2105,871,946,377,781,1245
20:51:29,205,23,47,0,0,48,2,1295,3248,5218,6086,1751,1200,283,888,3095,3802,1395,1715,1382,550,534,976
20:51:31,233,23,58,0,0,50,2,1775,142,5827,7548,2582,1228,2196,211,3326,4292,2219,2049,1606,822,109,539
20:51:33,229,23,57,0,0,52,2,848,3229,4037,3726,786,484,1041,1069,5794,6483,2015,928,946,583,432,503
20:51:36,230,23,46,0,0,55,2,521,3643,4138,3691,1045,1301,1562,826,3646,2477,639,1087,1456,725,1028,1293
20:51:38,207,23,53,0,0,57,2,824,1294,5643,6857,2861,1294,1644,1431,2818,4022,1796,2266,1235,613,788,1203
20:51:42,242,70,45,0,0,61,2,368,3696,2984,3586,1141,509,1228,671,3189,4773,1933,1131,1379,1209,1648,1542
20:51:47,256,70,54,0,0,66,2,2880,1822,5512,5841,398,2453,2246,675,2959,4155,1759,789,819,457,897,921
20:51:49,224,70,53,0,0,68,2,1033,2728,3754,4069,1741,1198,1618,752,5379,6833,2336,1267,1342,535,886,1212
20:51:51,227,23,52,0,0,70,2,964,1100,5104,6709,2037,1870,2601,824,2934,4098,2716,581,418,256,374,460
20:51:54,190,23,33,0,0,72,2,1061,1910,4885,6327,1963,1492,1737,1272,5417,6831,2623,306,532,364,961,848
20:51:56,216,70,53,0,0,73,2,2358,3464,4491,7640,3034,514,1954,1375,2392,2483,481,1047,710,717,609,645
20:51:58,236,70,45,0,0,77,2,3307,3154,2859,1887,75,1985,2552,243,4405,5843,1848,922,162,819,577,1164
20:52:00,256,7,39,0,0,79,2,1483,5110,2311,4708,3432,2290,1451,781,6003,6870,2658,1080,460,462,284,1272
20:52:02,308,7,49,0,0,81,2,544,6306,2238,4368,488,1078,2708,1739,4920,5911,2732,1202,759,464,891,1175
20:52:05,221,70,46,0,0,83,2,2242,3059,2667,5314,2742,808,2337,1485,3396,2953,1249,1104,360,974,471,1034
20:52:07,249,23,47,0,0,84,2,1009,6689,6662,7401,2811,2135,1022,1816,2984,4572,2287,1127,733,815,960,1363
20:52:09,299,7,41,0,0,88,2,2232,5336,4466,3944,1728,1566,2085,2520,4887,4659,717,663,1447,974,969,684
20:52:11,281,23,56,0,0,90,2,2933,2271,4035,7183,3532,1852,2076,1739,3374,4300,2240,967,1113,1038,1046,787
20:52:14,318,23,70,0,0,92,2,3746,5276,4555,9038,6334,3622,1963,1176,6616,6001,1589,672,1171,953,400,681
20:52:16,358,31,52,0,0,94,2,612,8113,7947,4546,1782,1862,1528,749,4651,4710,659,1045,1571,1152,837,151
20:52:18,336,23,64,0,0,97,2,4397,2846,5548,7701,3174,4133,2226,619,4125,3861,1114,1330,1680,1691,1302,658
20:52:20,369,23,56,0,0,99,2,4218,6905,5789,7274,5479,1866,1910,1012,4753,3182,1176,1096,868,1589,1085,481
20:52:22,386,23,85,0,0,101,2,4512,6590,4242,10979,7459,1496,2045,1370,3164,3491,1158,1385,597,1903,604,1188
20:52:25,350,23,74,0,0,103,2,4493,7706,4268,9499,7648,2272,2467,1115,4101,5688,2931,1453,2022,2589,2295,1648
20:52:27,370,7,57,0,0,104,2,1390,8353,5095,8569,5798,3584,3777,2905,7366,8141,4023,712,1481,881,902,951
20:52:29,317,23,56,0,0,108,2,5042,6479,9025,9818,7482,3636,2891,1291,3403,4751,2058,1158,1329,2338,1283,1335
20:52:31,451,23,63,0,0,110,2,3163,7987,4904,8171,3919,3860,2590,977,5881,6092,2979,3148,2756,2692,1786,1088
20:52:34,410,23,92,0,0,112,2,3883,8485,9332,11872,9555,2910,2161,2515,5881,8489,4292,936,628,917,496,344
20:52:36,417,23,112,0,0,114,2,3475,5708,4097,7385,108,2428,3600,3368,5436,5027,2496,2861,2132,1569,1480,2172
20:52:38,433,15,66,0,0,115,2,1934,7971,4687,8405,2841,7530,2923,944,4238,5509,2711,2029,2324,2797,2244,1770
20:52:42,311,23,48,0,0,121,2,2033,3241,4209,6231,3071,1581,1575,1830,3730,3717,2138,1921,759,1400,1059,1340
20:52:45,340,23,64,0,0,123,2,5414,6262,7158,8295,3808,1103,3139,1440,5636,5566,2869,925,929,2394,1358,730
20:52:47,397,23,101,0,0,125,2,557,8996,8341,9590,6668,3222,1117,1161,1835,4239,2225,1047,298,183,608,998
20:52:49,420,23,94,0,0,126,2,411,9248,6490,8752,4345,3839,2807,289,2397,3854,2419,1223,988,463,902,1414
20:52:51,389,23,84,0,0,130,2,2657,7876,2924,10776,9011,5417,783,2849,6886,7567,3688,3041,1271,2035,1956,1547
20:52:54,383,23,95,0,0,132,2,5218,5488,8746,12286,8556,1981,2866,2045,6214,7026,1767,2754,1917,674,663,1273
20:52:56,434,15,69,0,0,134,2,2670,7574,8936,7687,3847,787,4211,1924,3888,6995,4416,806,636,1017,700,543
