时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
19:39:15,649,31,122,0,0,75,1,7904,10491,6633,1946,3294,3030,4183,2081,8031,23258,23893,8343,3851,3672,3792,2225
19:39:17,710,78,171,0,0,79,1,10743,12300,7788,2136,2881,2563,1568,2499,6205,20538,23096,9226,4195,3620,3063,1801
19:39:20,784,78,174,0,0,81,1,492,10960,10096,5267,4998,3541,2527,6530,4049,14926,22297,8559,4951,4356,2266,5335
19:39:22,707,78,173,0,0,82,1,1846,8916,8779,1695,2708,3233,1681,1472,4654,16933,20366,5106,1599,1546,4107,1264
19:39:24,726,78,159,0,0,84,1,9041,12287,8830,1321,3494,1205,3782,2659,7302,17812,23689,9233,2731,3770,1915,4282
19:39:29,755,78,180,0,0,90,1,6715,10778,11159,4009,1078,556,2897,2737,4345,18404,23094,6070,2719,1235,3221,2077
19:39:31,792,78,192,0,0,91,1,6417,9860,10514,5531,2422,1515,3618,4263,1076,12951,21800,9513,975,457,2740,6385
19:39:33,777,78,157,0,0,93,1,5995,12191,13489,8339,7553,5513,3873,2399,3449,12353,20093,6799,3186,1309,1231,3819
19:39:35,672,78,156,0,0,95,1,1255,7577,10012,4300,4403,1688,2021,5537,7538,15243,22714,10239,2737,1794,3000,7471
19:39:37,753,78,176,0,0,99,1,5596,10140,11242,3816,831,716,1784,2239,3577,17662,22542,8849,2427,1356,832,4516
19:39:40,724,78,184,0,0,101,1,3994,9337,9886,2406,5141,1740,2285,6426,8209,17925,23617,9525,2460,825,2831,8131
19:39:42,673,78,161,0,0,102,1,697,8020,9767,5281,4080,3332,2694,3484,4999,14366,19258,4707,3273,1494,3886,1393
19:39:44,681,78,168,0,0,104,1,3660,8210,9266,2394,2553,2560,390,1354,3553,14750,19856,8621,5525,3397,4241,4384
