时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
20:59:49,1968,78,549,0,0,544,2,1639,2395,2327,7470,5982,1204,513,2056,5955,43966,65535,27689,6347,6220,10343,18764
20:59:51,1964,78,536,0,0,546,2,521,2228,4736,7228,7821,3283,1868,4597,3400,37137,65376,29631,5141,6712,9359,15223
20:59:53,1832,78,482,0,0,548,2,516,2950,3837,7989,9716,4216,2164,3728,13930,30205,57367,46584,24275,19830,9133,21523
20:59:55,1910,78,448,0,0,549,2,1329,2658,2223,5460,8720,6788,6363,5577,4889,36636,63330,27575,2478,2595,5408,15865
20:59:57,1943,78,534,0,0,553,2,1746,1817,5250,10228,12351,5534,3318,5165,5340,36820,64141,27346,3793,1690,3893,16783
21:00:00,1899,78,506,0,0,555,2,10614,9438,7192,8703,8967,3371,3686,7051,6553,42535,64775,26296,7489,4124,6491,19877
21:00:02,2102,85,438,0,0,557,2,1254,1119,4858,8046,10871,4474,9383,14554,4302,42912,65535,30977,5431,6602,10419,16886
21:00:04,2017,78,535,0,0,559,2,333,3483,8660,14340,13508,5489,7088,7847,6998,35117,65535,31113,2963,3585,5922,17753
21:00:06,1970,78,518,0,0,560,2,916,515,462,4382,7106,4425,1487,4522,3452,37562,65535,31674,7089,6761,7719,17057
21:00:09,1866,78,489,0,0,564,2,615,1829,2252,5539,9447,3644,7160,4470,8526,36828,62687,27691,3976,3690,3603,19266
21:00:11,1860,78,510,0,0,566,2,1748,1962,3513,4520,4437,1535,2810,2135,3700,38121,65357,26766,4310,9592,12806,19109
21:00:15,1967,78,541,0,0,570,2,1979,1414,2453,3462,5766,354,4822,2643,5776,36121,63792,28956,3938,6322,5551,16025
21:00:18,1908,78,498,0,0,571,2,864,3020,3352,6748,7308,901,4236,4408,8828,41700,63912,25363,3219,4482,4641,20011
21:00:20,1898,78,488,0,0,575,2,2452,1279,1570,4716,6164,2891,3329,3721,2487,36922,65535,32953,7669,8952,8912,11830
21:00:22,1829,78,453,0,0,577,2,1093,1532,5840,2228,7490,4137,7136,2334,14561,40697,58013,25979,12350,8858,1798,20777
21:00:24,1921,78,525,0,0,579,2,189,2179,2431,4822,6685,1284,3697,5731,8901,40834,65535,25391,7377,3023,3397,17651
21:00:26,1947,78,512,0,0,580,2,1044,2468,4825,8416,6089,523,1501,2588,5200,41591,65535,28719,7456,5906,8291,14612
21:00:29,1977,78,536,0,0,582,2,659,6452,2390,5115,10022,9308,5636,1523,14127,45093,62077,28009,3221,3291,5225,26837
21:00:31,1902,78,492,0,0,586,2,509,3732,5265,11805,12420,2766,1842,4907,6798,39955,63072,25322,380,2389,6480,17819
21:00:33,1866,78,487,0,0,588,2,1077,1378,2691,6890,7951,4869,7819,8677,4380,36232,62461,27074,3717,5332,4359,14308
21:00:35,1819,78,502,0,0,590,2,2647,2761,2235,3397,5862,2411,3993,1410,10765,32213,63584,44619,7546,16073,18085,22345
21:00:38,1971,78,496,0,0,591,2,3677,3342,3370,10229,9960,3327,4468,6318,8156,42681,63544,23442,5525,4437,3777,19104
21:00:40,1906,78,496,0,0,593,2,2400,1875,1875,9229,8573,3630,4685,3936,3855,41806,65535,28386,6897,6858,7994,13849
21:00:42,1888,78,500,0,0,597,2,2451,1818,4245,11453,9600,3487,4654,5349,5699,41973,64023,23242,12508,2653,5395,18606
21:00:44,1829,85,380,0,0,599,2,2552,6075,9759,11528,6278,7056,15924,13592,3384,37509,65111,30142,5534,6819,8286,12646
