时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
22:05:19,631,70,132,0,0,4448,2,2993,4770,3646,3691,17757,25606,18823,12679,6406,3853,4514,11070,7129,3934,2328,6269
22:05:22,801,39,165,0,0,4450,2,3986,4991,3994,3745,19217,21178,9287,6048,9318,14721,5096,5235,2562,7646,3580,3945
22:05:24,718,39,117,0,0,4451,2,872,412,6393,9192,13474,14995,9600,8509,7289,9130,12570,8349,2804,1766,3590,5043
22:05:26,807,31,147,0,0,4453,2,912,3624,4980,8239,18821,12591,6682,4468,5202,4163,2493,4821,1915,2280,1011,4377
22:05:28,877,31,171,0,0,4455,2,2131,757,6182,5419,12165,17302,5175,1093,4144,11193,11780,8751,7720,4597,3300,4626
22:05:30,780,31,213,0,0,4459,2,1436,1034,1550,3469,15849,22468,12419,3438,8571,9909,5761,3989,2218,3125,1921,3918
22:05:33,818,39,228,0,0,4461,2,577,4342,4342,4962,20941,29274,18421,13572,9972,8440,7876,12408,7828,2732,6013,8912
22:05:35,883,31,157,0,0,4462,2,3405,4193,6904,7139,20111,18185,3922,3206,721,13219,11665,10569,2235,2051,3033,8254
22:05:37,845,31,197,0,0,4464,2,3717,3639,10460,15038,25249,18589,4025,7245,11577,14110,14870,14337,12845,3309,6145,7863
22:05:39,969,39,230,0,0,4466,2,527,2103,6540,11101,27805,25347,17691,15556,3595,13132,13630,6721,3600,6906,2134,7149
22:05:41,665,31,116,0,0,4470,2,6414,7706,4997,9705,26271,21532,7019,2433,3474,291,1676,3018,3672,2486,3751,3043
22:05:44,673,39,122,0,0,4472,2,1410,1526,2711,455,11209,15680,12003,6533,8313,13450,8262,3569,8419,6627,5907,831
22:05:46,952,39,276,0,0,4473,2,2572,355,6917,8492,22737,35362,14708,8254,6443,5869,10696,11621,8022,7792,6612,7406
22:05:50,868,39,140,0,0,4477,2,2808,5089,5905,5363,17366,22679,11712,11650,14625,5546,7251,5253,7130,11300,6715,2183
22:05:53,837,70,135,0,0,4480,2,1419,3320,5118,723,11398,12024,11689,13595,9104,11794,8965,4972,8612,10448,6571,3528
22:05:55,946,31,185,0,0,4482,2,7288,5848,7090,5511,23715,22669,14595,9497,6703,9111,12050,7544,1900,1488,1458,6693
22:05:59,839,54,145,0,0,4486,2,11830,10982,2986,8183,21485,15738,7584,11045,13669,13381,2063,8034,10498,8813,10033,4838
22:06:01,1013,39,182,0,0,4488,2,9126,7400,4389,6094,22440,20435,15943,15941,10431,12245,11789,10016,3161,1783,2064,6777
22:06:04,843,70,126,0,0,4492,2,3925,4222,5448,5357,9167,4883,11153,4298,10639,16159,8624,9419,8463,8248,7673,9937
22:06:06,963,31,198,0,0,4493,2,3500,196,6606,13344,25350,22752,6900,17641,14879,16220,18115,7196,6900,3807,4276,7204
22:06:08,795,31,183,0,0,4495,2,941,4444,2362,5607,23481,20723,6373,10692,13065,14130,10790,6585,3684,2700,2413,4503
22:06:10,838,31,176,0,0,4497,2,5968,6419,4144,13685,32324,28322,22038,18218,8886,7539,4506,7372,4908,1474,4029,4176
22:06:13,989,31,267,0,0,4499,2,9905,5101,3942,12164,24995,28356,14945,2514,2914,7293,12173,8091,2561,407,3298,5510
22:06:15,942,31,186,0,0,4503,2,787,6890,6873,5936,23897,20038,8020,15332,12866,12039,15301,9341,7535,3157,4420,6139
22:06:17,848,31,177,0,0,4504,2,2624,3845,7168,4199,22762,18887,12122,8178,16493,2005,11135,6508,919,1858,624,4575
22:06:19,1018,31,245,0,0,4506,2,5199,8458,9015,8861,31437,29258,17168,14942,4578,2978,5917,3895,4372,3826,8761,4260
22:06:21,881,31,114,0,0,4508,2,410,4429,4619,2417,18734,18851,5053,4817,3455,8724,1587,8818,8411,8031,8606,9334
22:06:24,952,46,183,0,0,4510,2,3696,4713,3283,10073,26329,20973,3994,2958,6635,10898,8874,4133,3811,746,4464,4718
22:06:26,854,31,218,0,0,4514,2,5524,6144,463,12443,27977,24537,11601,6477,2530,2896,10048,8518,1458,2385,82,4783
22:06:28,937,31,203,0,0,4515,2,4551,5434,7149,11836,26065,19055,1806,11448,9744,4211,3668,5255,5429,193,5360,4254
22:06:30,1017,39,237,0,0,4517,2,2084,4831,4003,8412,28804,30417,13587,7255,8982,25237,21952,7714,5631,4840,3326,7886
22:06:33,1115,70,197,0,0,4519,2,3031,2757,10121,14098,22928,18229,7770,2796,11401,10031,2944,4161,2596,1283,3733,2400
22:06:37,765,31,147,0,0,4525,2,1595,4714,3810,2893,18866,11865,4201,3578,6045,4757,6960,6226,2020,144,1234,4332
22:06:39,795,31,214,0,0,4526,2,408,3945,5744,12963,27485,19603,8720,13837,7595,4044,5115,2124,1631,666,813,823
22:06:41,914,31,167,0,0,4528,2,998,4695,4865,7887,21495,18097,5153,8776,6868,5536,4305,1250,6738,9091,7048,1622
22:06:44,842,31,220,0,0,4530,2,1972,6612,2850,11446,29495,20357,4395,2722,8457,13019,2929,5028,1980,3395,1927,3304
22:06:46,923,31,193,0,0,4533,2,521,6318,1505,5955,21733,20336,3896,9393,16977,10285,6174,717,806,776,1081,2355
22:06:48,741,39,136,0,0,4535,2,7171,6813,6701,7292,9070,17450,13579,2649,5020,11555,6636,2121,3413,5482,4906,3770
22:06:50,938,31,176,0,0,4537,2,2103,2797,3664,8788,22596,20455,11872,6111,7190,6603,8026,4470,2442,5124,3354,2825
22:06:53,806,31,163,0,0,4539,2,5987,2061,6813,10609,20978,20793,9811,4516,2968,12330,11055,3158,2991,3551,3398,978
22:06:55,870,31,218,0,0,4541,2,3074,4593,8261,6101,21903,14535,4698,12646,10667,9451,11826,5845,2883,4901,2505,2897
22:06:57,791,31,216,0,0,4544,2,9492,8063,4438,10454,27078,25853,5911,11663,19559,17822,8363,5475,6994,7048,6840,5215
22:06:59,835,31,208,0,0,4546,2,8401,4707,2026,11374,26712,25600,16330,13392,13713,10731,3704,3852,3883,7731,4108,2267
22:07:06,892,62,132,0,0,4552,2,473,3031,3190,5447,26252,26907,16006,9723,8299,7235,4204,5141,6183,4000,5045,4626
22:07:08,892,31,130,0,0,4555,2,6104,5093,3423,6622,23078,24113,2862,7779,2456,6740,4610,4933,6249,1293,3752,3223
22:07:10,604,31,129,0,0,4557,2,499,3708,7887,4448,16564,12909,3162,3883,4622,10400,12068,6936,2832,1321,2743,5478
22:07:13,891,31,190,0,0,4559,2,764,471,4293,11245,24400,18813,12330,6102,8681,16412,13710,2891,2995,4640,4647,1030
22:07:15,733,31,177,0,0,4561,2,2805,3752,3447,8775,31353,35483,19603,8978,13639,9406,6631,2547,2667,1648,2137,2198
22:07:17,825,39,194,0,0,4563,2,3037,986,4040,8083,24633,14424,6455,8114,10750,7712,5033,4186,2504,3951,2937,2946
22:07:21,729,31,170,0,0,4568,2,3631,2945,2335,4149,21883,16619,7856,12392,10049,4982,3649,7188,7192,3870,5784,4808
22:07:24,846,39,168,0,0,4570,2,5587,6523,3354,13554,10549,21582,20443,20115,6258,6950,7203,2299,1578,4596,2547,941
22:07:26,610,31,101,0,0,4572,2,820,2676,4779,7730,22457,27175,7508,3701,1106,4406,750,2257,2723,1467,2740,1456
22:07:28,823,31,212,0,0,4574,2,4189,11517,10981,6672,26670,26878,21575,15810,5486,12906,4590,4549,6388,4064,4683,3171
22:07:30,774,31,205,0,0,4577,2,8571,2590,7654,15150,26245,21456,4808,883,6116,9464,6560,5760,1765,5270,322,3811
22:07:33,810,31,199,0,0,4579,2,703,5223,6643,13574,25515,14417,383,9697,15580,17571,7165,809,2591,2075,2976,2862
22:07:35,803,39,182,0,0,4581,2,4985,3133,4786,2102,18820,23394,10072,9281,11997,12086,11097,2711,6922,6229,2812,4188
22:07:37,882,39,242,0,0,4583,2,138,4907,9395,14986,28292,26111,11970,6209,16468,15666,7364,6861,7852,7003,8133,5032
22:07:39,809,31,198,0,0,4585,2,67,2463,4860,10655,30445,23776,5738,3084,8059,8568,1728,2576,4667,5041,5054,3442
22:07:41,842,31,248,0,0,4588,2,2121,1621,2732,12449,31819,27652,6587,3161,10475,11838,3275,2786,2448,2209,894,2068
22:07:44,755,31,202,0,0,4590,2,3674,4337,5537,9585,25966,23883,8704,5511,6656,11184,5249,4451,8125,10004,5654,4245
22:07:46,885,31,260,0,0,4592,2,9014,6130,3195,11338,33370,30535,9267,10413,3928,2357,5947,4160,3459,3195,4047,1520
22:07:50,742,31,131,0,0,4596,2,3672,5428,8737,10916,27786,30530,14045,2749,6605,7608,5267,4030,2866,3659,2867,3335
22:07:53,769,31,135,0,0,4599,2,1155,6033,8655,9678,17281,15466,4358,7073,6037,9850,2238,5352,1880,4110,1754,2322
22:07:55,825,39,217,0,0,4601,2,3632,7710,3492,6788,25522,27792,9292,3067,15273,13934,5234,2994,1909,2015,2100,3948
22:07:57,924,31,228,0,0,4603,2,3390,5428,6600,12536,29301,27354,8286,4632,10888,8658,1728,4604,4672,1275,4587,3200
22:07:59,884,31,157,0,0,4605,2,2252,3326,2442,8013,25466,20541,5048,4695,5396,2459,2276,1021,4760,7518,5586,2256
22:08:01,803,31,172,0,0,4608,2,717,2396,4329,8907,25066,21906,9405,6718,7252,7278,2261,4705,1810,1880,1926,2446
22:08:04,866,31,238,0,0,4610,2,3090,2251,4282,14082,30485,27657,8632,3175,8640,12001,4226,3598,6312,7975,6489,4703
22:08:06,858,39,182,0,0,4612,2,1801,2900,1639,8938,20856,23368,21108,13395,18955,13560,3356,5634,7527,3808,7157,6567
22:08:08,878,31,210,0,0,4614,2,4353,6375,6687,13692,26966,20428,9588,16290,12820,10427,2276,4369,4212,5154,4809,4972
22:08:10,702,31,212,0,0,4616,2,6307,8603,6662,8989,26994,21176,8132,11502,10053,11389,4008,953,3595,3916,1164,647
22:08:13,750,31,145,0,0,4619,2,9522,8717,2743,11984,26236,25837,17422,9431,20571,11453,4971,3270,2511,1767,2671,2154
22:08:15,827,39,200,0,0,4621,2,3756,6086,7513,6161,24632,25629,12889,4771,11803,10921,2606,1331,5485,5341,4498,2357
22:08:17,804,31,223,0,0,4623,2,3596,6398,4562,10659,28545,17077,3632,6120,5848,6861,10407,13811,7315,1609,5083,11140
