时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
19:57:21,202,54,63,0,0,1157,1,1285,1777,1432,1254,681,2716,5477,8179,4634,1180,1528,2506,2428,973,1175,1265
19:57:23,208,54,47,0,0,1159,1,335,830,1427,3037,3625,2678,3812,5904,3596,563,1016,742,997,892,1142,920
19:57:25,200,54,57,0,0,1162,1,374,457,1752,3369,4111,1977,1928,5459,4591,1084,804,1162,131,791,85,976
19:57:28,226,62,42,0,0,1164,0,12,866,261,1892,1868,1435,108,5322,5458,1089,1222,2297,1237,495,718,1581
19:57:30,195,62,35,0,0,1166,1,838,1176,1259,1503,1926,1058,437,4546,4232,965,1330,1901,1744,389,1347,1600
19:57:32,191,54,54,0,0,1168,1,714,1015,617,1766,2140,1195,2738,7169,3040,686,581,1404,1405,485,510,664
19:57:34,166,54,33,0,0,1170,1,1343,889,2192,1922,1296,2222,3642,5208,3064,457,1129,1888,1949,855,1597,1557
19:57:36,204,54,32,0,0,1173,1,9,2126,2712,2731,2326,1072,1780,4864,2508,1551,1146,2604,3081,1478,2706,2062
19:57:39,201,54,41,0,0,1175,1,1684,1441,1119,1119,3452,3043,3545,5327,4783,1133,1224,1881,3284,2265,1388,1714
19:57:41,193,54,46,0,0,1177,1,908,2313,1114,2360,3716,2221,3075,5970,3680,838,76,2382,2926,998,2398,2280
19:57:43,197,54,45,0,0,1179,1,1174,1187,264,1880,2840,1254,2029,5606,4321,733,1898,4003,3133,536,2467,3362
19:57:48,188,15,21,0,0,1184,1,117,1550,2724,2613,2137,1510,1434,2667,2125,1042,341,2218,2201,425,1590,1596
19:57:50,203,31,29,0,0,1186,0,27,802,2142,3569,3817,1729,761,3428,2154,1160,596,292,1346,744,913,523
19:57:52,206,54,60,0,0,1188,1,1308,1334,1132,1305,2082,2078,3958,7680,3736,320,1153,721,2152,1054,1960,774
19:57:54,188,54,46,0,0,1190,1,300,893,831,995,1513,997,886,2410,1710,363,682,126,761,481,571,142
19:57:56,185,54,36,0,0,1193,1,100,352,852,1119,3188,2043,1398,4904,4924,2030,638,3224,2418,286,2227,3083
19:57:59,158,23,22,0,0,1195,1,503,363,2413,2871,2516,1410,1537,1676,1333,874,1162,1692,1715,395,1138,1311
19:58:01,200,54,30,0,0,1197,1,1351,703,1745,2486,2989,2695,840,3912,2473,668,1243,2789,2339,494,1863,2281
19:58:08,174,54,43,0,0,1204,1,353,389,895,2231,4126,2866,2165,3010,2015,141,835,2874,2327,1270,2261,2245
19:58:10,170,54,32,0,0,1206,1,640,518,2001,2718,2435,2389,2847,4108,2239,904,897,1471,1947,958,1286,1034
19:58:12,150,31,21,0,0,1208,0,3,533,568,791,2801,2756,1720,2762,1293,578,1150,864,1405,1081,1481,882
19:58:14,146,31,26,0,0,1210,1,652,1169,1759,1258,1712,2142,1284,1391,4567,1033,1442,3262,2410,246,2046,2788
19:58:16,194,54,49,0,0,1212,1,1302,1190,1564,2519,2821,3176,3999,5961,3191,675,788,1109,1792,1239,1473,926
19:58:19,195,31,26,0,0,1215,0,45,410,885,1847,3454,2124,520,3158,3345,1059,653,3193,2183,200,2001,2845
19:58:21,221,54,51,0,0,1217,0,42,942,176,981,3229,3100,3080,6604,2973,323,1106,1775,1726,974,1604,1204
19:58:23,191,39,28,0,0,1219,1,249,1323,2751,2008,1816,3610,2282,2538,3162,1325,567,2540,2541,562,2367,2544
19:58:25,203,54,31,0,0,1221,1,942,413,2308,3787,2900,1775,1553,343,933,1158,1816,2538,1710,342,1011,1794
19:58:28,172,54,43,0,0,1224,1,569,633,1707,3110,2715,2048,2890,4515,2678,169,1180,3828,2922,1270,2457,2758
19:58:30,206,54,35,0,0,1226,1,127,910,1180,547,3177,2531,1579,4512,2514,873,1989,1298,1709,273,1916,771
19:58:32,173,85,27,0,0,1228,1,517,270,1592,1877,3028,2577,564,2332,3343,1004,1889,1684,2271,1595,1599,1532
19:58:36,179,54,26,0,0,1232,1,1477,1046,690,1893,3207,2459,1047,3943,2980,503,1540,1578,1600,325,1672,1340
19:58:39,184,54,36,0,0,1235,1,246,722,689,296,3177,3548,3347,6125,4198,486,2224,4622,2988,211,2465,3829
19:58:41,157,23,30,0,0,1237,1,515,254,2068,3918,3839,2548,861,454,659,428,2092,3764,1999,555,1969,2568
19:58:43,163,39,16,0,0,1239,1,553,168,1148,1834,1495,2127,1030,1385,3791,1166,1247,2820,2246,898,2063,2628
19:58:45,205,62,29,0,0,1241,1,358,260,214,2576,4806,3207,1453,5700,2764,1673,1533,3786,2612,568,2426,2547
19:58:50,185,31,36,0,0,1246,1,537,824,512,3563,4640,1850,1794,1073,144,946,2623,3655,2522,1279,2129,2702
19:58:52,208,54,44,0,0,1248,1,571,1147,914,2142,4949,3981,1535,5649,2647,1260,743,1235,1565,472,1340,739
19:58:54,209,31,42,0,0,1250,1,1005,1450,2346,4837,5428,2680,2318,1885,5653,1506,712,2861,2908,600,2480,2776
19:58:59,236,54,52,0,0,1255,1,203,215,429,1199,691,561,273,4300,4281,2348,3132,949,2316,1677,2232,350
19:59:01,222,54,61,0,0,1257,1,607,682,1687,1567,2117,2524,4731,7905,4583,969,1537,2529,2291,1239,1870,1961
19:59:03,209,54,44,0,0,1259,1,185,616,1326,1460,1704,1912,2780,5672,5452,1516,1964,2410,2597,999,2475,2016
19:59:05,233,54,58,0,0,1261,1,307,1294,882,2140,1932,2917,3884,5622,3991,1865,1090,1779,2684,653,1920,1681
19:59:10,222,31,43,0,0,1266,1,117,551,795,4412,5548,2948,1614,3086,1878,353,2090,2030,3281,1296,2602,1516
19:59:12,272,54,53,0,0,1268,1,732,1976,1276,3145,3446,991,3701,6867,3018,764,2504,6469,4713,541,3739,5295
19:59:14,205,31,40,0,0,1270,1,1086,1961,2275,4686,5161,1716,1361,3148,2906,2017,4095,4442,3685,1522,3185,3553
