时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
19:47:04,2801,70,767,0,0,542,1,2414,3127,2298,975,1871,2311,2691,4503,29105,31966,8676,451,730,449,1526,2836
19:47:06,3469,70,959,0,0,545,1,1702,885,641,518,1935,1906,7353,5455,65535,65535,34141,5211,7297,6524,7688,12258
19:47:08,2290,70,623,0,0,547,1,6608,3248,2250,1398,2344,2886,4160,11857,65481,65535,22840,6614,2785,5426,4341,7926
19:47:10,819,62,202,0,0,549,1,904,2915,2636,1759,285,1210,1236,6937,41679,46743,14236,3449,1885,3095,4092,5246
19:47:13,1451,70,365,0,0,551,1,84,2624,1153,533,1664,1424,1926,5456,65535,65535,23362,5745,2496,4240,3048,7366
19:47:15,2374,70,630,0,0,553,1,6406,2555,722,2354,2284,5186,3554,19277,65535,65535,27220,7310,2825,1787,2902,4869
19:47:17,3259,70,864,0,0,556,1,10559,5082,3032,5456,3023,4086,4174,23834,65535,65535,26171,7352,2998,1330,1662,4691
19:47:19,1220,70,289,0,0,558,1,330,2736,2356,1422,1321,2481,2414,5730,28934,29394,8833,3028,957,2157,2489,2806
19:47:21,3516,70,931,0,0,560,1,1728,2156,2131,4482,4177,6543,6015,22742,44424,52537,13548,4257,1332,1865,1628,3129
19:47:24,1598,70,410,0,0,562,1,6732,602,2815,1088,2702,5215,4565,18787,65535,65535,25476,7406,2804,1945,2715,4324
19:47:26,2324,70,612,0,0,565,1,2585,3205,977,871,1593,2451,1974,6275,29788,33930,10968,4640,458,2277,2448,2278
19:47:28,3433,70,956,0,0,567,1,13653,7534,2640,2394,1803,2645,8012,14433,65535,65535,38740,10473,7566,8665,8009,12565
19:47:30,806,62,175,0,0,569,1,1857,2405,488,401,2242,2200,2964,3589,65535,65535,26971,5799,5563,5692,5642,9316
19:47:33,2473,70,658,0,0,571,1,4286,1475,2898,1991,2152,2939,5381,9783,65535,65535,40996,10812,8628,8898,8612,12890
19:47:35,3515,70,970,0,0,573,1,2097,2746,1749,926,348,886,1270,7108,28089,25869,3458,3163,1811,1776,1306,3283
19:47:37,1302,70,312,0,0,576,1,7971,4447,2036,2763,2553,3239,6571,19618,65535,65535,36147,12693,6028,8878,7226,11174
19:47:39,878,62,212,0,0,578,1,264,3154,1205,1525,1344,1738,1005,7892,27225,22615,241,3711,986,832,1440,1619
19:47:41,1855,70,495,0,0,580,1,2714,1655,1812,2165,1921,3393,5155,8822,37773,47926,16644,2211,2563,2454,2826,4750
