时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:45:50,953,15,285,0,0,3285,2,3672,28410,36572,11029,2721,4583,1980,4009,4848,7165,8377,12001,10392,3944,7679,9511
21:45:52,1072,15,336,0,0,3287,2,11780,29430,36597,8987,5791,2471,1806,5269,865,3955,9236,14867,15016,5275,9451,10703
21:45:54,1075,15,318,0,0,3288,2,704,22487,32324,11465,4675,2423,1210,858,1664,7113,14153,12999,17472,14501,10569,9046
21:45:56,1101,15,276,0,0,3292,2,5339,23220,36765,13024,7311,3387,1349,2081,3930,2120,9542,8243,16083,22231,14415,3281
21:45:59,1065,15,355,0,0,3294,2,2772,30513,45471,28136,13413,8477,6273,5272,4100,2926,2114,1465,1360,1486,1146,830
21:46:01,1123,15,314,0,0,3296,2,9026,32668,40317,11258,10847,10026,10029,3723,2597,1690,2067,3479,2688,1603,2417,2655
21:46:03,965,15,289,0,0,3298,2,3190,25830,38850,21215,10722,6617,3548,4721,2199,1729,5458,10134,10882,9490,8156,7653
21:46:05,963,15,321,0,0,3299,2,8285,31941,41796,18197,2916,1453,5186,8676,9790,4988,8058,4801,2202,5057,3476,2142
21:46:07,1356,15,423,0,0,3303,2,22545,49109,54157,15736,3602,6433,7946,3173,858,3994,5532,4958,6100,12014,6288,3267
21:46:10,1428,15,477,0,0,3305,2,23740,51594,61130,21495,7737,4432,3323,5296,4479,4458,10211,11929,16705,8991,17157,11612
21:46:12,1117,15,272,0,0,3307,2,12858,30597,34893,9206,8568,8820,4920,6218,2900,4299,6783,10985,12180,14329,12038,10960
21:46:14,1101,15,353,0,0,3309,2,20278,42313,51767,16426,7447,4377,7216,6270,12105,12351,12253,10507,5006,2463,5548,8216
21:46:16,1273,15,380,0,0,3310,2,11915,35274,62317,31172,7407,12662,8410,4557,2832,7616,8159,1340,3162,856,2811,2414
21:46:19,1391,15,433,0,0,3314,2,9416,45822,55513,23081,5133,2961,6693,1157,4372,1611,9483,2762,7179,4004,6544,1021
21:46:21,1563,15,454,0,0,3316,2,21150,53619,58234,12635,12194,10391,5547,5241,14145,11106,9079,3260,3485,2373,1860,1217
21:46:23,1523,15,445,0,0,3318,2,10302,46448,56961,17849,15679,9882,4304,11175,4224,3576,2391,5252,2434,2033,1665,4303
21:46:27,1395,15,395,0,0,3321,2,30995,47012,40389,8819,12004,9084,2267,9757,13635,7350,10436,3442,5125,3341,5850,1570
21:46:30,1294,15,356,0,0,3325,2,14132,40839,45657,13870,9460,4190,5041,4063,5402,7800,5970,4935,5269,4275,5322,4120
21:46:32,1481,15,392,0,0,3327,2,1877,41606,50294,20712,12618,21318,11608,2694,3189,7974,8720,7124,4422,4078,4215,6660
21:46:34,1369,15,434,0,0,3329,2,23456,53097,55561,21251,14192,13928,6323,2510,12418,3278,5169,6281,3624,8591,3323,2753
21:46:36,1401,7,330,0,0,3330,2,12326,36914,46337,26512,21214,11931,6847,9774,5538,6828,6527,4971,3473,2381,3055,4483
21:46:39,1387,7,422,0,0,3334,2,3119,37184,47026,20055,20754,9163,5784,8338,7986,762,3407,9314,6603,5099,3301,6906
21:46:41,1326,15,412,0,0,3336,2,22606,46368,52740,21070,13704,16183,6298,7915,11211,8646,4822,7858,9511,5770,7673,5127
21:46:43,1455,15,354,0,0,3338,2,9686,44873,45327,11252,5801,14284,5977,2226,7738,8597,5170,6775,3325,901,3235,5873
21:46:45,1476,7,402,0,0,3340,2,24324,51501,51177,5532,3043,23370,15144,3572,10311,9068,8130,5482,8499,7942,8022,4206
21:46:52,1367,7,383,0,0,3347,2,32524,49062,47657,18824,19152,16369,9919,13028,9280,4162,14919,9202,1594,6322,1712,3449
21:46:54,1315,7,415,0,0,3349,2,33829,53157,49734,8951,11364,13744,7133,5960,11353,11346,7476,3115,4241,3209,2638,1955
21:46:56,1317,7,434,0,0,3351,2,37517,53589,49975,23323,19080,18628,8661,3531,7391,5724,8951,3028,6610,3044,5228,1176
21:46:59,1298,7,441,0,0,3352,2,24877,45468,42933,19719,4878,16093,14796,12311,6109,6133,12149,9779,7815,10923,7134,6814
21:47:01,1340,7,377,0,0,3356,2,7403,55885,52585,12902,23385,24386,7182,4801,5032,5212,3506,329,515,855,1145,1565
21:47:03,1524,7,486,0,0,3358,2,41530,62216,45928,3056,21320,21836,5104,5395,4855,5825,4455,686,1285,2133,1927,1216
21:47:05,1480,15,426,0,0,3360,2,5050,51767,54532,20734,8277,7270,7124,10468,4999,3768,3189,5631,7284,7394,7100,2192
21:47:07,1285,7,418,0,0,3362,2,51008,65535,52618,10153,3128,11691,9970,11759,1421,2103,5808,5231,951,3368,1690,2830
21:47:10,1277,7,440,0,0,3363,2,2337,50745,47179,18432,8307,4804,6408,9923,14392,14406,12486,9617,6259,7022,6040,7489
21:47:12,1356,7,381,0,0,3367,2,8983,47981,48030,18458,17019,23779,18262,8792,2673,7529,6046,2762,1544,5997,2273,3721
21:47:14,1222,7,364,0,0,3369,2,28526,46679,45886,17408,15208,16747,14687,3316,2815,1597,8226,9028,6033,6459,5850,6566
21:47:16,1255,7,350,0,0,3371,2,7695,44825,40014,8750,9298,15845,11671,9133,9603,5478,10650,11352,5971,2744,3099,5888
21:47:18,1241,7,365,0,0,3372,2,41643,56456,49077,8436,16922,14669,1839,6885,11794,6409,7054,5029,5971,7179,5883,2215
21:47:21,1306,7,362,0,0,3374,2,36751,56921,49545,7944,5302,11550,9097,4553,2768,8194,11687,7156,4232,3024,2923,4243
21:47:23,1331,7,361,0,0,3378,2,1261,46271,45674,12833,1841,6264,6261,4847,5727,2862,3353,2572,1177,4035,1782,2358
21:47:27,1306,15,343,0,0,3382,2,25771,42446,43968,19321,17127,11372,12704,15458,1830,3169,5733,5556,5258,1375,5738,4711
21:47:30,1211,7,386,0,0,3383,2,28158,51809,42418,7099,11575,13795,11527,10326,14921,14095,10127,4980,1457,2026,2096,813
21:47:32,1267,7,385,0,0,3385,2,17667,49359,44312,15415,18758,14511,4301,3946,7493,2549,4510,3854,7239,6481,6890,3094
