时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:58:36,576,23,122,0,0,4047,2,2111,1203,3237,15736,14049,3221,8871,13514,6155,2271,7963,5605,951,326,103,4061
21:58:39,583,23,117,0,0,4049,2,3135,1162,3515,14983,13011,1643,8072,14597,4310,4847,8536,5887,2098,1703,1106,4724
21:58:41,616,23,132,0,0,4050,2,683,2179,2512,16699,16260,3920,9907,15188,4475,4171,4223,3928,1581,2186,862,2570
21:58:43,582,23,118,0,0,4052,2,1275,1308,5813,16677,13120,4263,15072,16731,4148,5541,8826,4981,1222,1157,1514,4641
21:58:45,596,54,129,0,0,4056,2,1521,916,4567,15848,12312,2160,11919,16573,5861,3849,7650,3797,1075,2930,1959,2538
21:58:47,531,54,117,0,0,4058,2,2525,2985,4484,13023,13819,4571,9769,15048,3994,5038,9196,5487,2313,1947,1519,2520
21:58:50,635,23,133,0,0,4060,2,2580,476,5725,17026,14536,1739,11911,15350,5253,1293,5487,3100,894,2537,1766,1239
21:58:52,620,23,120,0,0,4061,2,3110,3382,6900,18422,14761,4573,12493,15808,5532,4066,8066,3933,1158,2877,2075,2694
21:58:56,603,23,134,0,0,4067,2,981,2427,4649,17152,12981,3208,10980,14164,3861,5191,9403,7033,5070,2342,587,2695
21:58:59,616,23,147,0,0,4069,2,1746,909,5499,18821,15475,5368,10932,12539,3728,6514,8618,2944,6042,5487,3657,2767
21:59:01,649,54,130,0,0,4071,2,921,1963,5694,15189,12528,1517,11989,16660,7936,3862,8236,7243,805,1162,1502,4441
21:59:03,601,31,130,0,0,4072,2,2444,2491,5599,14549,11805,2868,9739,14449,3587,2846,6341,4843,2223,772,2659,3313
21:59:05,674,54,148,0,0,4076,2,4731,2491,3353,15125,14963,3346,8800,15184,4594,2270,7442,5749,329,1278,230,2761
21:59:07,642,23,128,0,0,4078,2,366,3307,2935,16439,13530,908,11651,16058,6572,1423,7183,7614,5215,1508,2688,5447
21:59:10,646,31,136,0,0,4080,2,5387,4566,6813,16765,17414,5997,5635,12528,5010,4386,6223,2534,1330,1745,1258,2828
21:59:12,601,23,98,0,0,4082,2,6010,5636,6552,12615,11772,3773,8091,12286,4929,2689,5695,4296,374,1064,1308,3735
21:59:14,596,23,111,0,0,4083,2,478,403,5202,16892,14181,1515,10480,15359,4673,3201,5316,4450,3432,2435,2183,2659
21:59:16,642,23,136,0,0,4087,2,1674,1665,1520,17854,22865,11169,6011,13293,10170,6321,3917,4896,1622,1769,1260,1933
