时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:36:23,4098,39,1140,0,0,2721,2,4882,4516,5346,19598,65535,65535,43646,3031,9143,42366,31699,14065,27435,4445,21502,9042
21:36:25,3892,39,1096,0,0,2725,2,7537,4067,2277,16012,65535,65535,37386,14149,9414,46201,37276,15493,19887,10331,23373,16635
21:36:27,3828,39,1080,0,0,2727,2,3276,2468,12100,18289,65535,65535,42359,5281,27327,26975,39783,23432,12948,21166,33051,27616
21:36:29,4005,39,1185,0,0,2728,2,13304,4282,11094,31478,65535,65535,53180,26058,12245,47556,39798,15336,19497,12015,24464,16047
21:36:32,3908,39,1105,0,0,2730,2,20507,12446,5874,14273,65535,65535,46046,8688,6694,37540,31687,13103,24744,2600,19942,11122
21:36:34,3946,39,1155,0,0,2732,2,7706,9536,6293,20200,65535,65535,43899,8899,17610,42801,33618,16655,22961,15575,19855,2156
21:36:36,4032,39,1212,0,0,2736,2,5514,12452,11443,11817,65535,65535,65535,35093,33200,17358,28846,13804,15424,21846,13608,14525
21:36:38,3899,39,1098,0,0,2738,2,8045,8940,10088,14395,65535,65535,43487,12139,23325,49563,38233,17433,22923,26559,26707,17325
21:36:40,4054,39,1111,0,0,2739,2,5013,3652,1682,18449,65535,65535,34785,9404,12892,39599,39983,10568,17236,15138,25100,8831
21:36:43,3817,39,1105,0,0,2741,2,21664,10920,5977,19479,65535,65535,36128,10408,18086,40963,24597,12593,24509,20840,23146,11106
21:36:47,3926,39,1091,0,0,2747,2,5106,2826,8724,8458,65535,65535,45102,10390,26123,50602,43132,12142,22852,25021,27357,16107
21:36:49,3904,39,1202,0,0,2749,2,14504,6473,3173,17318,65535,65535,65535,22614,9856,41051,29037,8833,24585,11938,21480,9923
21:36:52,3880,39,1124,0,0,2750,2,18852,7401,2105,14737,65535,65535,47880,9075,22601,43999,30379,10570,24254,22664,18971,5454
21:36:54,3838,39,1105,0,0,2752,2,9016,11866,4410,20903,65535,65535,50151,3066,16267,39745,26291,5439,20693,27424,19474,8439
21:36:56,4116,39,1103,0,0,2756,2,1803,4148,9511,11484,65535,65535,42056,12998,19257,39441,27660,14927,26241,24062,24622,13840
21:36:58,4004,39,1155,0,0,2758,2,7789,1314,6103,11079,65535,65535,54182,8903,19177,40962,31107,6131,23523,24936,23078,7048
