时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:05:54,862,70,172,0,0,907,2,5501,2777,532,2225,6811,21017,22031,4928,6498,22928,17441,4765,2187,1059,3154,5517
21:05:56,829,70,179,0,0,908,2,3411,2591,1951,4950,3350,16814,19481,3409,6622,22292,16367,2309,3361,1292,4431,4505
21:05:59,849,70,174,0,0,910,2,1229,1591,1997,4513,5849,15454,17138,4168,6680,22812,18803,4164,1457,4502,5163,3104
21:06:01,908,70,176,0,0,914,2,1977,2279,2234,2106,7627,17894,17344,3942,6194,22515,17409,3871,1563,1570,2627,2155
21:06:03,821,70,185,0,0,916,2,3844,1356,590,5583,7957,15978,17702,4163,7143,23799,16253,1073,1107,2102,3022,3786
21:06:05,839,70,177,0,0,918,2,2996,1392,1341,5635,6995,17641,18899,2892,5265,18650,20889,7589,3578,2691,5322,7508
21:06:08,827,46,165,0,0,919,2,2966,894,2181,5846,7608,19775,22297,5454,6369,20916,15021,3303,2092,296,2233,2670
21:06:10,855,70,163,0,0,921,2,2289,3675,2863,3378,4709,17263,21749,5809,7427,22876,18374,3322,1117,1412,4272,3987
21:06:12,888,46,179,0,0,925,2,387,1222,1338,3178,7141,21659,23026,6399,9679,22890,15482,1870,1930,2226,760,4586
21:06:14,886,46,189,0,0,927,2,2755,1606,740,5944,9631,13807,24237,17120,14230,10335,17459,7721,5528,3183,1087,3832
21:06:16,916,46,182,0,0,929,2,3170,2895,2622,2940,5366,20568,23331,8951,6526,21909,15074,1260,1838,638,3211,3138
21:06:19,904,70,171,0,0,930,2,3394,1916,2511,5671,7902,19336,21288,8464,7683,22554,16121,1951,443,1359,1447,1796
21:06:21,841,70,176,0,0,932,2,1989,1168,480,3519,8193,20308,20775,6192,7858,22372,15498,3540,2016,1280,763,201
21:06:23,905,46,169,0,0,936,2,1694,1779,2166,3611,6110,18383,21664,10038,3930,20769,17301,4640,2586,1221,860,949
21:06:25,911,70,184,0,0,938,2,106,1827,2334,4826,5914,18284,20517,6212,5927,21383,16727,2624,3528,1585,2279,1576
21:06:28,905,70,165,0,0,939,2,2797,5948,3973,4756,9535,18074,21062,6798,8569,20259,15019,3488,3556,1976,1761,1880
21:06:30,885,46,163,0,0,941,2,1463,2298,2133,4616,3741,16859,20687,7212,8553,21672,13626,2942,2488,1242,1383,816
21:06:32,825,70,169,0,0,943,2,1609,1580,1677,5014,2988,18511,19060,1473,10563,22640,15706,2667,1553,1433,1754,2363
21:06:34,896,46,157,0,0,947,2,4559,4307,5053,5778,3938,16605,20099,2799,4471,20041,17571,3322,435,2902,2042,1708
21:06:36,871,70,163,0,0,949,2,991,1160,1554,2183,5150,19569,20023,1825,6051,21212,18809,6518,2935,2670,5260,5763
21:06:39,889,70,177,0,0,950,2,1374,1658,1475,4157,1540,18212,20414,6945,5908,21708,17073,1083,2273,389,2607,2231
21:06:41,892,70,169,0,0,952,2,1841,2721,3016,2486,7449,15079,23862,11050,8004,16509,19170,5645,5759,3596,5433,1572
21:06:45,895,70,171,0,0,958,2,1011,802,2435,2958,6585,19683,21002,5491,8458,22001,17752,4116,2630,2050,2375,4646
21:06:47,921,70,172,0,0,960,2,213,2517,2116,5274,5887,15310,19423,5078,9571,22536,18400,4663,1680,1563,4549,5961
21:06:50,927,46,204,0,0,961,2,1057,660,397,4152,9207,21740,26120,9561,5493,20749,17385,5083,2189,1683,2262,2985
21:06:52,830,70,162,0,0,963,2,3255,2781,1991,5797,9353,20840,20962,4231,8111,21928,18539,4898,4001,1609,3247,5455
21:06:54,929,70,171,0,0,967,2,1948,2318,2857,3460,2539,17890,19467,2962,10133,22833,16087,3371,4770,769,3224,3656
21:06:56,915,46,176,0,0,969,2,39,142,1248,3402,3620,16467,22643,8120,12575,16390,19544,5634,5515,3060,3274,5638
21:06:59,902,70,187,0,0,971,2,90,526,1337,4282,6425,19443,19297,2739,8937,25275,19497,5619,3404,2895,3718,2330
21:07:01,892,70,180,0,0,972,2,1311,1913,2262,6153,8943,17691,18313,5546,7585,24915,19385,6671,4426,3055,3581,3260
21:07:03,939,70,194,0,0,974,2,2099,1465,1071,2568,3358,12887,22625,16373,11040,10253,20251,12923,11200,8818,7156,6098
21:07:05,895,70,183,0,0,978,2,991,1159,1673,5044,3951,20117,24201,8091,5556,22067,15582,3334,3655,203,3905,3329
21:07:07,869,70,183,0,0,980,2,4239,2646,1733,3208,8637,20427,20978,5493,6776,23448,17177,1465,2365,2560,1172,2408
21:07:10,900,70,169,0,0,981,2,1958,1740,113,5743,8388,16876,21170,4424,10024,23277,16748,2038,4084,446,2843,2619
21:07:12,917,70,181,0,0,983,2,1709,1131,1398,2397,8167,18803,17506,3122,6713,22913,19981,1960,3090,1448,5277,4278
21:07:14,951,70,179,0,0,985,2,3752,2111,1902,5435,5080,19399,21474,4627,6700,23562,17802,2905,1489,1277,2893,2984
21:07:16,850,70,183,0,0,989,2,3989,3174,2075,5716,8422,18831,19386,1139,7522,21710,19264,6079,1841,2352,2741,6714
21:07:19,911,70,180,0,0,991,2,3043,4000,3580,2546,3161,15640,18597,6310,7160,23116,18228,4478,1763,346,1756,3078
21:07:23,924,70,175,0,0,994,2,2629,2567,1667,4702,12212,23341,21739,5436,4843,19066,22413,2370,8510,5332,7177,3208
21:07:25,966,46,185,0,0,996,2,678,2656,2632,5798,10625,20546,18369,5285,5937,22153,19538,2560,2717,262,2991,3938
21:07:27,946,39,173,0,0,1000,2,2498,2357,2660,3397,8569,22165,21736,8566,2892,19632,19836,7871,4283,1920,2855,4372
21:07:30,880,70,181,0,0,1002,2,2502,3212,955,2895,8232,18670,21170,7005,7449,23198,20333,6536,2848,1787,3955,5712
21:07:32,886,46,158,0,0,1003,2,548,1779,3990,4798,3779,14427,20321,8825,7033,23097,19195,1732,3616,1255,2944,2363
21:07:34,897,39,188,0,0,1005,2,5898,4331,2620,3326,11111,24060,23099,7431,4046,22490,21097,7309,6421,2885,3489,1839
21:07:36,952,46,182,0,0,1007,2,4653,5374,2643,1973,3788,14974,17487,5030,6922,22156,19553,4021,878,1257,2315,2847
21:07:39,982,46,217,0,0,1011,2,252,772,1146,3001,6640,11632,27825,14833,9363,11712,19218,9955,6778,6048,8007,6213
21:07:41,890,39,172,0,0,1013,2,3353,2254,2517,4452,9982,22135,21103,7379,9222,21965,17962,2182,3597,343,2495,2943
21:07:43,935,70,168,0,0,1014,2,5237,5063,3599,2566,7774,19778,19895,7029,10775,21532,21520,6118,1354,1694,4865,7186
21:07:45,926,70,168,0,0,1016,2,1811,573,825,2634,8877,21612,21255,6010,6269,23951,20548,326,4297,1959,5336,4489
21:07:47,918,70,187,0,0,1018,2,2397,2034,2015,4122,4176,16321,20241,4309,7222,24331,17924,2361,2181,1065,2807,3236
21:07:50,842,70,179,0,0,1022,2,1718,647,1997,5378,7980,17562,20841,5140,5785,23001,18738,2505,1116,1870,4287,3817
21:07:52,931,70,162,0,0,1023,2,918,1397,1100,3833,3798,17640,20506,1557,10108,23537,17887,3199,2295,1576,2342,3173
21:07:54,887,70,177,0,0,1025,2,2055,947,2980,1302,6940,19275,21818,5592,7931,23692,17862,1880,2092,1697,2827,4497
21:07:56,871,70,185,0,0,1027,2,2107,2016,2139,2517,5198,19703,20174,1821,11088,24054,19203,3085,1477,1817,2923,5019
21:07:59,941,70,181,0,0,1031,2,621,1326,2665,5566,10966,19461,21108,6436,8220,19577,22720,11321,1775,4461,6147,6135
21:08:01,863,70,183,0,0,1033,2,4873,2428,1196,5011,9050,20745,21767,6118,6841,23514,18414,1595,1978,1236,3237,2832
21:08:03,885,70,187,0,0,1034,2,3029,675,2752,2635,8194,19011,20819,5346,7283,23599,18104,4144,2289,2444,3745,4760
21:08:05,953,70,195,0,0,1036,2,3349,3253,2640,5576,9199,19350,20920,6346,12397,8282,21213,12950,8020,6819,6505,10001
21:08:07,885,78,165,0,0,1038,2,3530,2480,4494,8267,8360,17528,18995,1399,5962,23423,18233,5081,2760,1449,4816,5688
21:08:10,929,70,177,0,0,1042,2,3602,2323,2736,2832,8907,19775,20087,4995,6477,22843,17800,3070,3372,2211,834,1378
21:08:12,903,46,186,0,0,1044,2,501,739,1143,4386,8723,20435,23822,6851,9362,22551,14849,2387,4891,1614,4329,4344
21:08:14,938,70,191,0,0,1045,2,1696,1402,926,3762,2573,16733,22182,5322,5387,24136,21269,4256,1132,1351,3289,4975
21:08:16,937,70,188,0,0,1047,2,3402,1317,1454,4457,6661,20514,21096,3770,6047,23233,21479,7031,2439,1113,4402,6002
21:08:19,919,70,181,0,0,1049,2,1121,623,1382,5254,8546,20541,25207,9730,7878,20235,21119,7254,6391,2811,6747,3531
21:08:21,876,70,178,0,0,1052,2,3199,2635,3054,4067,10161,21228,19780,4047,8163,24941,21746,5546,3986,251,4058,6472
21:08:23,946,70,187,0,0,1055,2,1899,1039,1409,2346,1354,16203,19720,5121,8651,24032,20330,6093,2996,1523,3407,4154
21:08:25,877,70,196,0,0,1056,2,1947,1762,2267,1945,7511,18294,18582,3294,9789,20074,19907,6406,3658,2602,6447,3374
21:08:27,893,46,162,0,0,1058,2,2908,696,962,4422,8753,19979,20651,5833,5802,23776,18280,4116,3675,1901,2633,1232
21:08:30,878,70,185,0,0,1060,2,3170,1363,2174,2343,7824,18390,17500,2675,8477,26704,21644,5317,3963,3652,5111,2709
21:08:32,891,70,177,0,0,1063,2,2297,1596,647,2875,9123,20316,19849,6196,5844,23798,17511,3969,3401,1289,1864,965
21:08:34,984,78,173,0,0,1065,2,2717,5663,5053,6983,15546,11319,22172,16584,12923,11944,22242,11457,3397,4977,2690,7568
21:08:36,895,70,192,0,0,1067,2,2836,1522,1588,2378,7981,19295,21358,6829,8249,24753,21686,7620,3922,909,5136,6346
