时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:41:41,455,7,119,0,0,3039,2,14064,15260,4559,1846,345,965,392,363,197,393,684,531,1054,602,729,347
21:41:43,248,7,68,0,0,3040,2,8811,8737,2871,984,246,946,893,1428,314,1578,1908,1816,1450,906,1449,1374
21:41:45,329,7,87,0,0,3042,2,1435,17646,5880,1570,1525,1056,173,467,757,600,920,905,818,864,678,685
21:41:48,185,7,40,0,0,3044,2,14039,13648,4990,1589,918,616,349,357,411,240,357,162,714,546,543,305
21:41:50,516,7,157,0,0,3048,2,4882,20178,8012,2651,2370,1754,212,596,385,235,270,293,159,383,130,311
21:41:52,480,7,154,0,0,3049,2,12345,19721,10260,1818,1119,940,187,542,372,716,688,236,416,878,530,47
21:41:54,406,7,126,0,0,3051,2,15527,16240,7598,1524,2446,2017,1128,604,818,1028,952,623,380,322,341,173
21:41:59,335,7,111,0,0,3055,2,7858,7755,3491,1358,2893,2528,937,850,61,495,817,658,412,549,417,579
21:42:01,616,7,189,0,0,3059,2,14889,24194,10400,1554,864,1763,895,502,403,1286,1407,974,580,714,529,598
21:42:03,364,7,128,0,0,3060,2,13321,16407,10172,2341,1722,2826,2657,2143,848,655,160,362,465,247,240,164
21:42:05,386,7,115,0,0,3062,2,12304,14824,6628,1639,2366,1800,1105,646,1192,828,926,1019,1389,1248,881,762
21:42:08,390,7,117,0,0,3064,2,22621,23014,12062,2121,2073,2239,772,197,365,769,1540,1241,826,794,711,775
21:42:10,377,7,118,0,0,3066,2,10838,14261,11680,3320,1911,2363,2070,1334,543,1486,530,751,1093,854,454,438
21:42:12,364,7,124,0,0,3070,2,14816,15886,8861,1291,1369,1902,524,1085,1024,791,1631,1317,1745,1669,1092,805
21:42:14,429,7,141,0,0,3071,2,17041,18053,9668,1749,2262,772,231,378,2004,751,466,664,1147,1328,906,411
21:42:16,603,7,210,0,0,3073,2,20030,26902,14386,1837,619,719,586,882,265,373,707,541,596,219,575,449
21:42:19,642,7,205,0,0,3075,2,21393,24965,15717,2255,894,1601,1457,1046,1018,609,899,520,316,117,304,288
21:42:21,224,7,73,0,0,3078,2,11928,14862,7252,385,2780,3743,2385,596,1198,765,845,1273,1625,963,1367,1202
21:42:23,636,7,222,0,0,3081,2,6248,28446,14918,357,694,1649,1711,1140,1011,1735,1517,507,775,971,286,478
21:42:25,347,7,92,0,0,3082,2,8717,11821,8307,1017,978,1350,1395,875,1251,532,953,1260,882,441,660,1013
21:42:28,304,7,88,0,0,3084,2,11485,11361,6226,550,1116,1530,231,1132,1601,543,1096,958,523,401,373,668
