时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:25:28,751,7,270,0,0,2072,2,7650,34636,26285,8484,3320,4949,5574,6877,5515,2936,3644,4274,2754,2446,1965,2906
21:25:30,880,7,276,0,0,2074,2,27562,35352,15747,3939,5928,1929,6297,5411,2787,4767,3522,2617,1704,1155,1465,1699
21:25:32,940,7,330,0,0,2076,2,37354,42301,30134,10739,2643,4122,3836,4224,2542,2603,1667,1502,2904,3467,2900,1627
21:25:34,676,7,233,0,0,2078,2,17154,32422,14380,8884,6695,5386,1664,2672,1833,2665,3480,3281,2668,4443,3148,2141
21:25:37,767,7,252,0,0,2079,2,21466,29860,11554,2694,3858,3226,1031,6263,3445,1276,3001,3293,3907,6754,4331,3189
21:25:39,773,7,235,0,0,2083,2,7502,30119,17417,3333,4309,8137,9582,3371,4164,5708,3407,4552,5373,2075,5423,4502
21:25:41,797,7,265,0,0,2085,2,29699,33971,21541,4630,6948,9284,7600,6634,2704,2583,3404,3888,3390,1018,1414,2048
21:25:43,868,7,235,0,0,2087,2,22596,30162,11019,6046,1343,7781,6359,4005,3055,4075,2186,1237,3194,5184,2355,423
21:25:48,669,7,196,0,0,2090,2,14721,29107,16668,5895,5165,9486,6819,3159,1921,2433,2725,5165,4597,4818,3257,3338
21:25:50,678,7,227,0,0,2094,2,11476,29117,21303,8948,5026,5465,6405,3780,905,2755,4650,4277,3449,2527,3414,3290
21:25:52,717,7,242,0,0,2096,2,23985,31085,21313,10212,8334,7207,5255,2629,3353,4993,3909,1403,1102,1151,739,984
21:25:54,503,7,173,0,0,2098,2,7891,22260,16096,2779,2583,4408,7379,4842,3772,3263,2946,2733,2182,1677,1811,2321
21:25:57,698,7,232,0,0,2100,2,2184,27019,14188,3534,3334,2691,3643,5410,4340,2527,2409,3694,6131,5888,4495,2350
21:25:59,455,7,127,0,0,2103,2,22923,26104,22734,16663,9197,4298,1553,4002,2007,1981,4905,5625,3297,1645,1551,3646
21:26:01,1014,7,364,0,0,2105,2,8469,46617,43155,15289,7493,12357,9670,3466,2615,2077,2053,3459,2943,1755,2917,3335
21:26:03,972,7,324,0,0,2107,2,30468,41474,22381,4561,2375,6666,6204,3168,1506,989,4578,1903,3532,1100,2380,852
21:26:06,1002,7,313,0,0,2109,2,21080,40089,23559,2967,903,5415,9097,6763,2721,1383,920,1522,4245,5149,4303,1565
21:26:08,1132,7,398,0,0,2110,2,31017,53391,39244,11312,7008,2169,2064,2104,2568,1208,1613,2343,2337,1058,1905,1461
21:26:10,1045,7,343,0,0,2114,2,13928,49556,37267,14239,9631,8865,13173,13211,7561,1765,3526,5555,3297,7144,3169,5641
21:26:12,1144,7,405,0,0,2116,2,43821,51905,37050,15169,9261,2541,6008,4380,6422,6280,6756,6180,5409,1827,4564,4610
21:26:14,1123,7,417,0,0,2118,2,45683,53407,35444,7180,4305,1508,2927,4162,2018,2771,3144,2312,3766,4845,4380,2862
21:26:17,1048,7,365,0,0,2120,2,3937,51184,36513,12115,10292,7899,5073,3462,3261,3080,5124,6749,6864,6994,6536,5982
21:26:19,1082,7,365,0,0,2121,2,16273,47208,28751,7915,9619,4868,2795,4105,3631,2403,1669,3773,2612,636,1236,2547
21:26:23,1163,7,411,0,0,2127,2,31582,52612,34106,9165,16320,9640,5073,1937,372,1120,2320,1805,1737,1129,1918,2001
21:26:26,1126,7,378,0,0,2129,2,21675,48495,29360,9033,6486,2998,3173,5776,2663,404,571,1044,1572,1675,1617,1239
21:26:28,1151,7,406,0,0,2131,2,6771,45789,29765,6495,3160,5501,4572,2195,2412,3729,7489,9725,6216,2028,6505,6907
21:26:30,1108,7,395,0,0,2132,2,8908,47306,33781,10686,8551,985,3214,2884,5346,2134,1627,4089,1616,4091,1816,3111
21:26:32,1160,7,381,0,0,2136,2,50500,52170,26854,2234,10311,7317,4343,6195,5977,1519,3930,4809,4889,1605,4660,3683
