时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
20:55:34,453,54,107,0,0,290,2,397,888,1679,1367,1090,2043,7034,15071,9369,679,862,2312,4479,4045,4626,3044
20:55:36,581,54,158,0,0,294,2,566,954,1795,1084,1763,2932,7900,18241,11102,3322,2659,1977,4006,2434,4629,3033
20:55:39,579,54,151,0,0,296,2,339,1877,4342,3082,3320,5732,7310,19439,10311,1429,1399,4982,8011,1207,5444,3633
20:55:41,536,54,137,0,0,298,2,1010,699,700,647,233,3081,6317,17649,6873,874,416,4043,6595,2434,6369,2891
20:55:43,421,54,106,0,0,300,2,2085,1553,2011,2157,2569,2997,9870,19360,9511,4022,3082,3658,7000,4786,6866,4801
20:55:45,468,54,125,0,0,301,2,763,1034,701,1494,1839,961,6169,10010,4641,611,1062,4527,6908,4827,6389,3258
20:55:48,406,54,100,0,0,305,2,531,1865,5015,4879,3120,6946,5864,6744,6913,1689,2271,2882,5250,5532,5114,2355
20:55:50,436,54,110,0,0,307,2,1239,1136,3957,3104,1703,1676,6796,14142,7655,318,396,5011,8398,3742,6737,4295
20:55:52,428,54,103,0,0,309,2,1626,1307,5307,4051,678,1486,6728,13290,5404,1176,1656,2190,4098,2253,4361,2775
20:55:54,332,54,74,0,0,310,2,589,451,1586,1176,1422,1436,4242,9076,4694,1431,1176,3498,6082,5004,6153,4024
20:55:56,324,54,70,0,0,312,2,1290,476,4498,4344,4824,4847,9649,17017,9108,892,1529,5565,8542,5661,5465,3348
20:55:59,394,54,116,0,0,316,2,278,1755,2139,1732,3059,2885,6765,14965,8201,750,1165,2907,5153,3500,5127,2914
20:56:01,379,54,103,0,0,318,2,2124,1997,2575,2005,362,2818,6458,13214,5017,2642,3061,2013,4641,2906,4739,2559
20:56:03,321,62,47,0,0,320,2,1125,1716,3905,3895,2546,4654,2721,5278,5115,1258,1752,3174,4284,121,4475,2592
20:56:05,278,54,63,0,0,321,2,538,2124,2012,621,1033,2837,4622,13094,6483,3369,2185,4917,8266,5928,6604,3843
20:56:08,480,54,113,0,0,323,2,3399,1653,2527,3243,1529,1711,3874,10760,6824,2520,2059,4442,6362,2648,4343,3203
20:56:10,345,62,72,0,0,327,2,2082,1020,1131,320,1310,1147,1657,7290,9339,5820,4309,3307,2493,6169,2858,3321
20:56:12,386,54,103,0,0,329,2,1107,1282,2936,2908,1421,2392,5799,13300,9665,2320,2620,4306,8193,6908,7920,4772
20:56:14,540,54,125,0,0,331,2,1954,2857,2533,1376,2648,4220,4735,16065,8171,2435,2316,4111,7278,4921,3504,2236
20:56:17,425,54,111,0,0,332,2,1316,478,2989,1911,919,1338,5313,10547,5089,1367,1125,3171,5627,659,4716,3081
20:56:19,330,54,85,0,0,336,2,2227,1350,2031,2170,1357,2132,7953,12831,5547,2252,2306,4714,7172,6249,6185,3922
20:56:21,398,54,100,0,0,338,2,1764,1909,2581,1431,1156,1950,5151,12912,7425,2450,2057,3404,6613,1520,5251,3217
20:56:23,358,54,88,0,0,340,2,1232,1341,2762,2142,2248,3254,4162,11323,6437,1959,1810,3054,4733,4120,4088,2687
20:56:28,394,54,90,0,0,343,2,399,417,1177,1025,2275,3160,6502,11318,6072,762,851,3197,5776,4289,4451,2722
20:56:30,365,54,83,0,0,347,2,1611,1911,1786,1647,2297,3837,4315,12675,7361,1381,1934,3304,4915,4255,4865,3675
20:56:32,353,62,72,0,0,349,2,1128,616,2987,5097,4756,2594,2187,8365,9270,3152,6239,4750,1337,1189,2177,3702
20:56:34,332,54,83,0,0,351,2,194,515,1061,1189,4635,5587,4964,10711,5886,2710,3216,3959,7561,4559,4062,2658
20:56:37,403,54,88,0,0,352,2,1224,423,3103,3503,1433,2973,5873,12004,8169,2685,2495,3833,6770,2801,6147,4339
20:56:39,455,54,109,0,0,354,2,230,1117,2785,3032,2548,3757,4074,8055,10228,4397,3941,3968,2859,5530,3565,4178
20:56:41,341,54,81,0,0,358,2,446,1953,4081,3308,1969,2332,3554,10985,7004,1666,385,3287,4563,1972,4469,2250
20:56:43,418,54,118,0,0,360,2,241,495,1918,1490,1224,1867,7728,15127,8340,2739,3257,2907,3737,3378,3659,3069
20:56:45,412,54,95,0,0,362,2,1358,906,4476,3503,3014,5031,6156,12210,13378,8027,3394,2559,2092,6339,2523,3620
20:56:48,471,62,104,0,0,363,2,378,2055,6165,4514,2524,3790,8253,15083,7087,3723,2805,6159,10038,2288,6118,4066
20:56:54,340,54,78,0,0,371,2,934,530,1680,1600,3034,5324,3367,10083,5077,4046,3906,2635,3769,1416,4195,3293
20:56:56,362,54,62,0,0,373,2,1824,1613,1912,1557,4590,5858,4104,8008,6793,3901,3974,2660,3496,2636,3355,2359
20:56:59,386,54,100,0,0,374,2,2255,2054,2526,1385,2153,3572,5147,12015,6763,874,1594,5076,7690,652,6959,4587
20:57:03,418,54,102,0,0,380,2,2595,800,4754,4540,4685,5872,4550,13134,7237,810,808,4284,7194,974,5450,3820
20:57:05,455,54,115,0,0,382,2,887,3144,4825,2677,3083,4037,6995,14748,7531,1467,941,2458,4748,2323,4534,1819
20:57:08,375,54,100,0,0,383,2,541,857,1690,848,1138,2202,7083,12920,8173,3437,2253,2725,4102,1511,3816,1887
20:57:10,355,54,94,0,0,385,2,1211,2001,5788,4583,1807,4023,3586,11595,6622,2391,2116,5272,8317,3145,6127,4376
20:57:12,432,54,90,0,0,387,2,52,1138,2285,1604,1565,2171,7396,14073,7243,2049,2246,5254,8095,4838,4526,3234
20:57:14,373,54,103,0,0,391,2,970,1771,1669,1355,277,993,6753,13250,7915,1966,2756,2429,3877,3023,4120,2676
20:57:16,357,54,85,0,0,393,2,362,653,2409,3476,1766,715,5511,10976,7117,3415,3011,6527,10215,3172,5703,3978
20:57:19,388,54,94,0,0,394,2,1368,872,1409,1853,3738,6235,7943,12044,4072,3723,1523,5792,9944,6833,6659,3576
20:57:21,471,54,97,0,0,396,2,326,2423,5576,3736,1425,2800,5509,9118,9253,3989,1727,3855,4034,2663,3120,3558
20:57:23,371,54,86,0,0,400,2,630,119,1472,1580,1156,784,5612,13112,7990,2517,1913,2202,4349,795,3994,2231
20:57:28,472,54,113,0,0,404,2,2137,4904,6883,3857,2715,5339,8450,14518,7825,3037,2225,3408,5311,4367,5116,3470
20:57:30,408,54,105,0,0,405,2,1245,718,836,2254,4243,4045,5251,13453,7268,847,1052,2966,5433,2923,4697,3003
20:57:32,407,54,106,0,0,407,2,1146,2099,3325,2704,1090,983,6526,12823,6873,2331,2148,3284,4363,3016,3660,2840
20:57:34,473,54,117,0,0,411,2,1438,1141,2353,3296,5051,4210,6633,14115,7770,4009,4406,3158,5369,5207,5291,2674
20:57:37,391,54,88,0,0,413,2,1960,505,3902,3496,4000,4395,2809,11365,7260,2855,1429,2494,5346,6227,4428,4148
20:57:39,410,54,107,0,0,415,2,1722,199,4292,4662,3516,3087,6956,13724,11262,4783,4158,324,4578,643,5173,2125
20:57:41,488,54,132,0,0,416,2,1306,2576,3486,1411,4713,6487,3207,13450,6162,1281,944,3492,5498,3967,5098,2542
20:57:43,382,54,92,0,0,418,2,2691,2306,1621,1238,1366,466,4095,13118,12552,4583,970,2363,3886,1562,3199,4239
20:57:45,354,54,88,0,0,422,2,2852,6994,5917,3468,6709,4800,5695,11009,5745,1366,2258,2608,5323,4984,5695,3658
