时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
22:11:41,4732,7,1477,0,0,4827,2,18134,65535,65535,33271,4325,8101,4730,16157,20540,16733,6939,2355,7295,7099,6987,4086
22:11:43,4603,7,1426,0,0,4829,2,65535,65535,60771,35771,14373,9527,5585,10852,10681,6018,7837,9014,5700,3639,3895,8211
22:11:48,4217,7,1617,0,0,4832,2,65535,65535,65535,48828,16482,7685,1729,11253,22007,19435,7846,16925,12889,4973,9484,11356
22:11:50,4338,7,1457,0,0,4834,2,65535,65535,65535,36135,19422,14379,17445,17610,8406,10587,7882,7835,7622,9347,5855,4381
22:11:52,4104,7,1485,0,0,4838,2,65535,65535,65535,35248,15123,22259,20977,7825,9795,9083,12826,11510,6340,3999,6338,9596
22:11:54,4557,7,1512,0,0,4840,2,48197,65535,65535,42713,2975,2009,11874,12080,5932,9460,5713,10046,15792,19914,13331,7631
22:11:57,4778,7,1502,0,0,4842,2,65535,65535,65535,38598,15533,2536,24536,30636,8794,3797,1641,1296,4097,5083,2175,1233
22:11:59,4283,7,1630,0,0,4843,2,63387,65535,65535,49343,9124,9979,9897,15253,12136,2657,2505,4140,3577,4231,2777,3559
22:12:01,4422,7,1679,0,0,4845,2,65535,65535,65535,34879,3907,8055,10946,11836,7735,4931,1399,1691,2951,6560,4715,3985
22:12:03,4503,7,1704,0,0,4849,2,54888,65535,65535,25382,3666,14851,5712,7458,342,3658,5733,6810,1188,3615,1788,6413
22:12:05,4807,7,1642,0,0,4851,2,65535,65535,65535,15294,8295,15229,8786,8538,2408,1445,2758,6002,1778,6556,2569,3674
22:12:08,5075,7,1679,0,0,4853,2,65535,65535,65535,28622,15495,7939,5403,3937,6169,6671,3886,7611,3477,2919,4289,3029
22:12:12,5313,7,1996,0,0,4856,2,65535,65535,65535,26332,29185,23169,6950,8297,5582,4561,5692,6964,6193,5074,5993,4660
22:12:14,5509,7,2068,0,0,4860,2,65535,65535,65535,34363,14862,29630,13955,4865,6036,4982,4762,5538,4358,3805,3517,3052
22:12:17,5538,7,2010,0,0,4862,2,65535,65535,65535,32651,25141,25457,14971,6567,7003,5042,4801,5207,2858,1485,3547,4508
22:12:19,5775,7,2092,0,0,4864,2,65535,65535,65535,38238,26693,17560,9033,6982,6854,7227,4558,3967,4024,2716,1359,1403
22:12:21,5597,7,2041,0,0,4865,2,65535,65535,65535,51492,14508,16504,13717,7286,11349,8371,997,319,1945,2162,1782,1324
22:12:23,5381,7,1909,0,0,4867,2,65535,65535,65535,20933,5725,13121,7174,4243,7698,4813,3022,1092,848,869,804,894
