时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:50:28,5025,15,1499,0,0,3560,2,8153,46453,65535,65535,28412,36002,16183,8803,2003,3248,7685,4106,3835,1515,2282,2089
21:50:30,5276,15,1601,0,0,3564,2,47415,10297,65535,65535,65535,27450,19621,2532,11662,10029,4289,15554,11883,3834,5698,7069
21:50:32,5353,15,1625,0,0,3566,2,3270,43135,65535,65535,28832,33619,16273,13473,9504,5834,9676,8288,2590,476,2926,6435
21:50:35,5343,15,1656,0,0,3568,2,15012,49124,65535,65535,33440,26533,10070,3559,6425,5136,6256,3209,3792,4165,2138,3110
21:50:37,5248,15,1538,0,0,3569,2,27412,35494,65535,65535,53784,17700,13214,11790,7848,20221,22501,13358,8881,7596,6859,3360
21:50:39,5753,15,1687,0,0,3571,2,56291,31474,65535,65535,52177,17039,10923,3004,6456,8855,13176,5059,3472,5727,4283,3370
21:50:41,5799,23,1641,0,0,3575,2,65535,21870,65535,65535,54821,36551,28081,11595,13855,8370,8961,9366,6848,2836,5601,6371
21:50:44,5831,23,1795,0,0,3577,2,51257,47978,65535,65535,59074,32904,9673,18264,7374,9361,1329,8913,1316,4538,3756,2919
21:50:46,5987,23,1804,0,0,3579,2,46284,44558,65535,65535,59336,29890,18191,9324,4609,2365,2031,9868,13094,12323,13168,9131
21:50:48,5957,23,1760,0,0,3580,2,30338,38770,65535,65535,37314,27605,5329,5011,18814,12240,9264,8605,5604,5000,2997,5975
21:50:50,6216,23,1769,0,0,3582,2,65535,3483,65535,65535,57658,12948,7209,4192,7791,6522,5343,7105,3024,9289,3833,4328
21:50:52,6252,23,1889,0,0,3586,2,18692,38705,65535,65535,65535,24701,22793,10347,7007,4600,9145,12605,5270,2289,3300,10047
21:50:55,6165,23,1904,0,0,3588,2,65535,6977,65535,65535,65535,30559,35202,11206,10949,6391,7476,6787,1015,4952,2634,3352
21:50:59,5877,23,1805,0,0,3591,2,60024,26749,65535,65535,45050,17508,8477,9415,6020,658,2959,4716,8045,6067,3491,1959
21:51:01,6322,23,1907,0,0,3593,2,16064,44037,65535,65535,42643,25438,8404,6755,14937,9640,10657,13468,6796,5544,9857,7387
21:51:04,5867,23,2029,0,0,3597,2,55526,29939,65535,65535,65535,25671,27722,9404,12204,17432,8690,5252,9407,11057,2946,4182
21:51:06,6104,23,1968,0,0,3599,2,65535,9817,65535,65535,64493,23602,12611,6891,4992,1120,5425,7268,10195,4709,4399,3373
21:51:08,6460,23,1988,0,0,3600,2,43313,31887,65535,65535,65535,30401,28693,12468,9858,5913,12454,2171,9861,5069,7186,1380
21:51:10,6404,23,1983,0,0,3602,2,64295,20857,65535,65535,55508,11955,12216,8518,20670,10110,6852,9405,4876,3893,632,7142
21:51:12,6354,23,1949,0,0,3606,2,65535,7506,65535,65535,62974,21871,13104,10113,18283,3951,9770,7009,2372,4958,5177,3719
21:51:15,6446,23,1957,0,0,3608,2,37562,35534,65535,65535,65535,25287,32773,15558,12787,5804,7083,5202,1771,3030,3524,2670
21:51:17,5972,23,1967,0,0,3610,2,58101,43849,65535,65535,65535,41594,29885,17806,11718,1918,11492,7169,1168,1850,3717,6423
21:51:19,6454,23,1987,0,0,3611,2,45414,37095,65535,65535,65535,23465,24440,7554,16918,12845,15933,9201,7345,4620,3019,3511
21:51:21,6282,23,1890,0,0,3613,2,53787,20930,65535,65535,62131,38391,27949,5728,10615,2339,7802,3971,1630,3751,1393,6572
21:51:24,6606,23,1920,0,0,3617,2,8742,24702,65535,65535,65535,19702,16317,3080,13704,14763,3200,7828,5932,4015,4538,6308
21:51:28,6470,23,1968,0,0,3621,2,65535,11880,65535,65535,62169,20843,10443,13329,17441,15707,15877,5230,4801,3113,2218,2201
21:51:30,6678,23,1966,0,0,3622,2,11028,65535,65535,65535,45890,44637,24581,10683,16379,10105,9534,3430,2268,905,3323,1966
21:51:32,6495,23,1980,0,0,3624,2,17163,41041,65535,65535,47343,34954,19327,13632,6482,10169,6372,5646,6067,3885,2942,4239
21:51:35,6672,23,1964,0,0,3628,2,65535,17556,65535,65535,52272,28304,22450,23305,13711,7760,8492,5382,4785,510,5733,7072
21:51:37,6526,23,2060,0,0,3630,2,64628,46947,65535,65535,65535,25442,31633,8105,17177,9907,4799,9248,5590,3466,7986,4875
21:51:41,6570,23,1965,0,0,3633,2,65535,31783,65535,65535,39148,22472,9326,17989,15818,9889,16396,14051,10090,15220,8928,7869
21:51:44,6539,23,1932,0,0,3635,2,65535,55641,65535,65535,65519,26365,10775,6231,14547,14083,3913,1145,1342,4951,5717,2894
21:51:46,6666,15,1967,0,0,3639,2,65535,33851,65535,65535,59420,11619,5841,16452,15595,6807,3774,3936,2588,2677,6730,5170
21:51:48,6661,15,2024,0,0,3641,2,65535,28330,65535,65535,47318,17708,4933,13639,11738,3916,5018,3962,2357,2155,4700,5398
21:51:50,6723,15,1933,0,0,3643,2,29888,57895,65535,65535,40671,20283,6617,24612,20930,11915,13413,10487,8425,8006,6180,5236
21:51:52,6653,23,2146,0,0,3644,2,40350,56285,65535,65535,35810,13692,8118,24430,14439,3126,5142,6547,1505,1992,830,4081
21:51:57,6637,15,2014,0,0,3650,2,63420,33857,65535,65535,38884,15181,15106,19385,14754,4395,7714,3841,3996,3586,3181,4861
21:51:59,6628,15,2008,0,0,3652,2,45789,50162,65535,65535,47663,5292,11329,19621,15408,2203,4655,3831,2755,5161,2765,2808
21:52:01,6571,15,2067,0,0,3653,2,65535,52318,65535,65535,28154,18788,6392,16879,18361,3380,2925,5793,5676,3180,5916,6648
21:52:04,6717,15,2061,0,0,3655,2,64540,60578,65535,65535,31325,10311,15796,22455,19813,10719,9887,8416,3030,7075,8307,9542
21:52:06,6795,15,2027,0,0,3657,2,56397,60317,65535,65535,35976,4615,11869,21204,12432,982,2521,8100,8433,3569,5255,5172
21:52:08,6615,15,2165,0,0,3661,2,56154,65535,65535,65535,22622,13811,9669,22631,11249,3660,2590,1696,3863,1762,4641,3700
21:52:10,6688,15,2166,0,0,3663,2,49487,65535,65535,65535,30782,6146,7386,18140,11403,1736,4673,8285,6577,9006,6997,4611
21:52:12,6808,15,2058,0,0,3664,2,65535,26637,65535,65535,60036,41436,27026,16958,8624,1322,2312,4167,3219,3484,3125,2598
21:52:15,6812,15,2154,0,0,3666,2,12252,65535,65535,65535,19594,17289,16223,21059,12981,1024,7238,2862,9677,10819,2933,3890
21:52:17,6737,15,2141,0,0,3668,2,43969,65535,65535,65535,22781,11512,18293,21899,14825,3409,1668,5680,4939,4642,2058,5312
21:52:19,6600,15,2165,0,0,3672,2,44907,65535,65535,65535,31023,1154,16626,22707,9548,1228,5157,5775,2829,5304,2774,6128
21:52:21,6739,15,2153,0,0,3674,2,65535,59750,65535,65535,23173,6630,15204,24830,9610,1497,3093,7236,2306,1828,2519,6601
21:52:24,6424,15,2184,0,0,3675,2,1534,65535,65535,65535,18673,7489,15196,24070,9724,4484,3237,8512,7459,7203,6641,4751
21:52:28,6465,15,2260,0,0,3681,2,12177,65535,65535,65535,25360,1369,15770,22374,8799,2411,3448,4677,10518,2534,9745,5474
21:52:30,6604,15,2202,0,0,3683,2,44358,65535,65535,65535,11709,7046,17291,21031,5109,5862,3107,7173,8438,9278,8863,6691
21:52:32,6770,15,2158,0,0,3685,2,65535,59372,65535,65535,31620,15818,9040,19623,9320,1496,2836,4352,3460,922,3829,5178
21:52:35,6808,15,2199,0,0,3686,2,65535,65535,65535,65535,18911,4475,17467,19236,3660,6308,4583,7196,9613,8752,9742,7804
21:52:37,6525,15,2226,0,0,3688,2,65535,65535,65535,65535,14545,8825,13727,26203,6982,2033,5528,9590,12531,6339,5555,5481
21:52:39,6398,15,2204,0,0,3692,2,4341,65535,65535,65535,9816,11353,21010,22713,4666,3818,4644,6224,6602,6059,8461,5543
21:52:41,6781,15,2244,0,0,3694,2,57219,65535,65535,65535,19907,3893,18660,20127,3996,2924,607,5093,6379,3676,7207,7205
21:52:43,6473,15,2229,0,0,3695,2,28560,65535,65535,65535,21992,1233,14729,17854,5464,842,424,1843,5307,8247,6215,4737
21:52:46,6646,15,2241,0,0,3697,2,54049,65535,65535,65535,26155,16348,22885,15952,2711,1956,1548,2421,4530,7680,5509,4304
21:52:48,6507,15,2268,0,0,3699,2,21427,65535,65535,65535,16431,3234,14033,14615,1477,2231,612,2011,5268,8121,6526,3453
21:52:50,6526,15,2261,0,0,3703,2,56671,65535,65535,65535,18655,712,14311,17859,5507,2644,2223,2717,3271,5992,4424,4387
21:52:52,6823,15,2145,0,0,3705,2,65535,56081,65535,65535,41031,16699,23516,33706,21242,10288,11606,13103,11073,9022,5227,3080
